efficiency,start_time,time_offset,end_time
86.65377,2018-09-02 02:05:00.000,UTC-0300,2018-09-02 10:42:00.000
93.269226,2018-04-27 02:55:00.000,UTC-0300,2018-04-27 08:06:00.000
85.26315,2018-07-02 03:26:00.000,UTC-0300,2018-07-02 11:20:00.000
91.89189,2018-05-30 08:21:00.000,UTC-0300,2018-05-30 10:48:00.000
92.42762,2018-03-21 02:13:00.000,UTC-0300,2018-03-21 09:42:00.000
84.25197,2018-08-05 08:58:00.000,UTC-0300,2018-08-05 11:04:00.000
76.190475,2018-06-16 10:59:00.000,UTC-0300,2018-06-16 11:19:00.000
91.452995,2018-04-27 08:09:00.000,UTC-0300,2018-04-27 10:05:00.000
92.10526,2018-05-15 10:16:00.000,UTC-0300,2018-05-15 10:53:00.000
93.02326,2018-04-05 02:31:00.000,UTC-0300,2018-04-05 10:23:00.000
94.047615,2018-05-14 21:53:00.000,UTC-0300,2018-05-14 23:16:00.000
87.96296,2018-09-12 04:42:00.000,UTC-0300,2018-09-12 10:05:00.000
91.967865,2018-07-19 02:18:00.000,UTC-0300,2018-07-19 10:35:00.000
92.36277,2018-12-02 05:36:00.000,UTC-0400,2018-12-02 12:34:00.000
70.96774,2018-07-04 21:23:00.000,UTC-0300,2018-07-04 22:24:00.000
0.0,2018-01-29 09:32:00.000,UTC-0400,2018-01-29 09:49:00.000
87.5,2018-05-04 02:12:00.000,UTC-0300,2018-05-04 05:39:00.000
91.6,2018-07-17 02:16:00.000,UTC-0300,2018-07-17 10:35:00.000
82.02247,2018-05-19 10:08:00.000,UTC-0300,2018-05-19 11:36:00.000
91.81495,2018-02-24 07:05:00.000,UTC-0400,2018-02-24 11:46:00.000
90.49881,2018-10-12 02:02:00.000,UTC-0300,2018-10-12 09:02:00.000
87.64045,2018-12-13 03:17:00.000,UTC-0400,2018-12-13 10:41:00.000
94.47236,2018-04-04 03:49:00.000,UTC-0300,2018-04-04 10:26:00.000
92.05128,2017-12-26 10:34:00.000,UTC-0700,2017-12-26 17:03:00.000
93.56137,2018-06-19 01:14:00.000,UTC-0300,2018-06-19 09:30:00.000
92.27166,2018-11-29 03:43:00.000,UTC-0400,2018-11-29 10:49:00.000
84.12698,2018-11-29 21:26:00.000,UTC-0400,2018-11-29 23:31:00.000
90.0,2018-09-28 08:02:00.000,UTC-0300,2018-09-28 10:51:00.000
0.0,2018-12-15 10:13:00.000,UTC-0400,2018-12-15 10:28:00.000
91.34948,2018-04-06 02:50:00.000,UTC-0300,2018-04-06 07:38:00.000
95.9799,2018-02-26 04:16:00.000,UTC-0400,2018-02-26 10:53:00.000
83.49515,2018-09-29 19:05:00.000,UTC-0300,2018-09-29 20:48:00.000
92.92929,2018-04-28 08:49:00.000,UTC-0300,2018-04-28 10:27:00.000
95.945946,2018-02-10 16:52:00.000,UTC-0400,2018-02-10 19:19:00.000
90.75,2018-05-03 01:52:00.000,UTC-0300,2018-05-03 08:32:00.000
90.41096,2018-09-27 07:54:00.000,UTC-0300,2018-09-27 10:19:00.000
92.24138,2018-01-29 03:27:00.000,UTC-0400,2018-01-29 09:14:00.000
89.74359,2018-07-31 08:03:00.000,UTC-0300,2018-07-31 11:17:00.000
93.589745,2018-10-17 01:32:00.000,UTC-0300,2018-10-17 10:37:00.000
92.1371,2018-11-26 03:07:00.000,UTC-0400,2018-11-26 11:22:00.000
91.1833,2018-02-22 03:00:00.000,UTC-0400,2018-02-22 10:10:00.000
74.5098,2018-04-08 08:27:00.000,UTC-0300,2018-04-08 09:17:00.000
83.33333,2018-01-14 11:21:00.000,UTC-0400,2018-01-14 11:50:00.000
95.194084,2018-02-16 02:52:00.000,UTC-0400,2018-02-16 11:52:00.000
90.36144,2018-08-31 01:18:00.000,UTC-0300,2018-08-31 08:12:00.000
90.38461,2018-09-29 07:22:00.000,UTC-0300,2018-09-29 11:41:00.000
92.78847,2018-04-02 03:15:00.000,UTC-0300,2018-04-02 10:10:00.000
94.72574,2018-06-21 02:32:00.000,UTC-0300,2018-06-21 10:25:00.000
93.70786,2018-01-17 03:23:00.000,UTC-0400,2018-01-17 10:47:00.000
95.454544,2018-01-31 02:59:00.000,UTC-0400,2018-01-31 11:24:00.000
88.359795,2018-08-25 23:05:00.000,UTC+0300,2018-08-26 05:23:00.000
91.61905,2018-10-27 02:50:00.000,UTC-0300,2018-10-27 11:34:00.000
92.34568,2018-01-24 04:00:00.000,UTC-0400,2018-01-24 10:44:00.000
87.61905,2018-08-22 22:02:00.000,UTC+0300,2018-08-23 05:13:00.000
89.87341,2018-05-08 22:04:00.000,UTC-0300,2018-05-08 23:24:00.000
93.593315,2018-01-02 07:10:00.000,UTC-0400,2018-01-02 13:08:00.000
91.66667,2018-03-15 02:54:00.000,UTC-0300,2018-03-15 09:41:00.000
83.78378,2018-04-04 02:32:00.000,UTC-0300,2018-04-04 03:46:00.000
86.84863,2018-07-30 04:07:00.000,UTC-0300,2018-07-30 10:50:00.000
85.15625,2018-08-09 08:42:00.000,UTC-0300,2018-08-09 10:49:00.000
88.679245,2018-11-01 07:14:00.000,UTC-0300,2018-11-01 09:52:00.000
93.84289,2018-03-02 03:09:00.000,UTC-0400,2018-03-02 11:00:00.000
92.253525,2018-09-24 03:47:00.000,UTC-0300,2018-09-24 10:52:00.000
88.97436,2018-07-23 03:52:00.000,UTC-0300,2018-07-23 10:21:00.000
92.98246,2018-06-13 02:56:00.000,UTC-0300,2018-06-13 10:31:00.000
